nichi,group_mise,group_item,target
20180312,X,D,17
20180312,X,E,160
20180312,Y,A,124
20180312,Y,B,1
20180312,Y,C,10
20180312,Y,D,25
20180312,Y,E,136
20180312,Z,A,119
20180312,Z,B,7
20180312,Z,C,10
20180312,Z,D,24
20180312,Z,E,111
20180313,X,A,143
20180313,X,B,13
20180313,X,C,6
20180313,X,D,9
20180313,X,E,143
20180313,Y,A,101
20180313,Y,B,10
20180313,Y,C,13
20180313,Y,D,18
20180313,Y,E,99
20180313,Z,A,94
20180313,Z,B,13
20180313,Z,C,19
20180313,Z,D,20
20180313,Z,E,75
20180314,X,A,185
20180314,X,B,16
20180314,X,C,11
20180314,X,D,10
20180314,X,E,116
20180314,Y,A,141
20180314,Y,B,11
20180314,Y,C,18
20180314,Y,D,17
20180314,Y,E,92
20180314,Z,A,96
20180314,Z,B,8
20180314,Z,C,11
20180314,Z,D,29
20180314,Z,E,71
20180315,X,A,178
20180315,X,B,21
20180315,X,C,10
20180315,X,D,8
20180315,X,E,103
20180315,Y,A,133
20180315,Y,B,9
20180315,Y,C,15
20180315,Y,D,22
20180315,Y,E,67
20180315,Z,A,92
20180315,Z,B,12
20180315,Z,C,16
20180315,Z,D,20
20180315,Z,E,64
20180316,X,A,166
20180316,X,B,10
20180316,X,C,7
20180316,X,D,10
20180316,X,E,122
20180316,Y,A,109
20180316,Y,B,6
20180316,Y,C,13
20180316,Y,D,17
20180316,Y,E,89
20180316,Z,A,83
20180316,Z,B,6
20180316,Z,C,11
20180316,Z,D,26
20180316,Z,E,62
20180319,X,A,182
20180319,X,B,13
20180319,X,C,7
20180319,X,D,8
20180319,X,E,141
20180319,Y,A,126
20180319,Y,B,5
20180319,Y,C,16
20180319,Y,D,23
20180319,Y,E,95
20180319,Z,A,95
20180319,Z,B,7
20180319,Z,C,18
20180319,Z,D,20
20180319,Z,E,85
20180320,X,A,166
20180320,X,B,16
20180320,X,C,6
20180320,X,D,10
20180320,X,E,182
20180320,Y,A,96
20180320,Y,B,2
20180320,Y,C,3
20180320,Y,D,12
20180320,Y,E,110
20180320,Z,A,89
20180320,Z,B,13
20180320,Z,C,14
20180320,Z,D,14
20180320,Z,E,98
20180322,X,A,172
20180322,X,B,15
20180322,X,C,25
20180322,X,D,28
20180322,X,E,173
20180322,Y,A,113
20180322,Y,B,5
20180322,Y,C,21
20180322,Y,D,22
20180322,Y,E,95
20180322,Z,A,71
20180322,Z,B,3
20180322,Z,C,23
20180322,Z,D,46
20180322,Z,E,73
20180323,X,A,186
20180323,X,B,11
20180323,X,C,24
20180323,X,D,17
20180323,X,E,129
20180323,Y,A,122
20180323,Y,B,7
20180323,Y,C,10
20180323,Y,D,13
20180323,Y,E,88
20180323,Z,A,71
20180323,Z,B,8
20180323,Z,C,17
20180323,Z,D,23
20180323,Z,E,77
20180326,X,A,184
20180326,X,B,10
20180326,X,C,17
20180326,X,D,21
20180326,X,E,108
20180326,Y,A,126
20180326,Y,B,10
20180326,Y,C,24
20180326,Y,D,27
20180326,Y,E,66
20180326,Z,A,104
20180326,Z,B,7
20180326,Z,C,28
20180326,Z,D,40
20180326,Z,E,77
20180327,X,A,175
20180327,X,B,15
20180327,X,C,33
20180327,X,D,19
20180327,X,E,100
20180327,Y,A,112
20180327,Y,B,10
20180327,Y,C,26
20180327,Y,D,33
20180327,Y,E,68
20180327,Z,A,94
20180327,Z,B,12
20180327,Z,C,34
20180327,Z,D,37
20180327,Z,E,59
20180328,X,A,218
20180328,X,B,13
20180328,X,C,18
20180328,X,D,10
20180328,X,E,85
20180328,Y,A,140
20180328,Y,B,15
20180328,Y,C,29
20180328,Y,D,17
20180328,Y,E,59
20180328,Z,A,108
20180328,Z,B,18
20180328,Z,C,17
20180328,Z,D,22
20180328,Z,E,51
20180329,X,A,220
20180329,X,B,13
20180329,X,C,26
20180329,X,D,10
20180329,X,E,90
20180329,Y,A,153
20180329,Y,B,9
20180329,Y,C,40
20180329,Y,D,26
20180329,Y,E,57
20180329,Z,A,95
20180329,Z,B,10
20180329,Z,C,22
20180329,Z,D,21
20180329,Z,E,40
20180330,X,A,182
20180330,X,B,9
20180330,X,C,15
20180330,X,D,9
20180330,X,E,87
20180330,Y,A,146
20180330,Y,B,13
20180330,Y,C,23
20180330,Y,D,26
20180330,Y,E,87
20180330,Z,A,84
20180330,Z,B,10
20180330,Z,C,17
20180330,Z,D,20
20180330,Z,E,52
20180402,X,A,203
20180402,X,B,10
20180402,X,C,17
20180402,X,D,11
20180402,X,E,74
20180402,Y,A,157
20180402,Y,B,7
20180402,Y,C,33
20180402,Y,D,22
20180402,Y,E,67
20180402,Z,A,135
20180402,Z,B,14
20180402,Z,C,31
20180402,Z,D,25
20180402,Z,E,55
20180403,X,A,195
20180403,X,B,16
20180403,X,C,24
20180403,X,D,11
20180403,X,E,62
20180403,Y,A,153
20180403,Y,B,13
20180403,Y,C,41
20180403,Y,D,21
20180403,Y,E,39
20180403,Z,A,100
20180403,Z,B,15
20180403,Z,C,37
20180403,Z,D,26
20180403,Z,E,50
20180404,X,A,206
20180404,X,B,23
20180404,X,C,26
20180404,X,D,11
20180404,X,E,68
20180404,Y,A,152
20180404,Y,B,31
20180404,Y,C,47
20180404,Y,D,22
20180404,Y,E,42
20180404,Z,A,106
20180404,Z,B,14
20180404,Z,C,37
20180404,Z,D,14
20180404,Z,E,32
20180405,X,A,161
20180405,X,B,14
20180405,X,C,15
20180405,X,D,8
20180405,X,E,90
20180405,Y,A,123
20180405,Y,B,5
20180405,Y,C,28
20180405,Y,D,21
20180405,Y,E,91
20180405,Z,A,86
20180405,Z,B,15
20180405,Z,C,19
20180405,Z,D,21
20180405,Z,E,58
20180406,X,A,188
20180406,X,B,17
20180406,X,C,17
20180406,X,D,9
20180406,X,E,67
20180406,Y,A,136
20180406,Y,B,12
20180406,Y,C,44
20180406,Y,D,11
20180406,Y,E,45
20180406,Z,A,82
20180406,Z,B,11
20180406,Z,C,29
20180406,Z,D,12
20180406,Z,E,48
20180409,X,A,170
20180409,X,B,9
20180409,X,C,17
20180409,X,D,11
20180409,X,E,82
20180409,Y,A,118
20180409,Y,B,16
20180409,Y,C,25
20180409,Y,D,21
20180409,Y,E,96
20180409,Z,A,105
20180409,Z,B,11
20180409,Z,C,19
20180409,Z,D,18
20180409,Z,E,78
20180410,X,A,159
20180410,X,B,11
20180410,X,C,20
20180410,X,D,10
20180410,X,E,87
20180410,Y,A,120
20180410,Y,B,15
20180410,Y,C,23
20180410,Y,D,18
20180410,Y,E,75
20180410,Z,A,96
20180410,Z,B,13
20180410,Z,C,30
20180410,Z,D,19
20180410,Z,E,55
20180411,X,A,150
20180411,X,B,13
20180411,X,C,16
20180411,X,D,11
20180411,X,E,73
20180411,Y,A,119
20180411,Y,B,17
20180411,Y,C,31
20180411,Y,D,23
20180411,Y,E,53
20180411,Z,A,87
20180411,Z,B,17
20180411,Z,C,22
20180411,Z,D,22
20180411,Z,E,52
20180412,X,A,168
20180412,X,B,22
20180412,X,C,26
20180412,X,D,9
20180412,X,E,54
20180412,Y,A,136
20180412,Y,B,12
20180412,Y,C,45
20180412,Y,D,16
20180412,Y,E,42
20180412,Z,A,104
20180412,Z,B,23
20180412,Z,C,30
20180412,Z,D,22
20180412,Z,E,38
20180413,X,A,175
20180413,X,B,19
20180413,X,C,16
20180413,X,D,4
20180413,X,E,77
20180413,Y,A,147
20180413,Y,B,21
20180413,Y,C,33
20180413,Y,D,17
20180413,Y,E,66
20180413,Z,A,91
20180413,Z,B,15
20180413,Z,C,26
20180413,Z,D,18
20180413,Z,E,43
20180416,X,A,154
20180416,X,B,9
20180416,X,C,15
20180416,X,D,7
20180416,X,E,71
20180416,Y,A,122
20180416,Y,B,14
20180416,Y,C,37
20180416,Y,D,24
20180416,Y,E,70
20180416,Z,A,102
20180416,Z,B,12
20180416,Z,C,22
20180416,Z,D,20
20180416,Z,E,51
20180417,X,A,149
20180417,X,B,13
20180417,X,C,15
20180417,X,D,11
20180417,X,E,79
20180417,Y,A,110
20180417,Y,B,1
20180417,Y,C,34
20180417,Y,D,23
20180417,Y,E,68
20180417,Z,A,77
20180417,Z,B,28
20180417,Z,C,36
20180417,Z,D,16
20180417,Z,E,59
20180418,X,A,165
20180418,X,B,15
20180418,X,C,13
20180418,X,D,7
20180418,X,E,91
20180418,Y,A,82
20180418,Y,B,20
20180418,Y,C,24
20180418,Y,D,22
20180418,Y,E,59
20180418,Z,A,72
20180418,Z,B,9
20180418,Z,C,17
20180418,Z,D,29
20180418,Z,E,65
20180419,X,A,166
20180419,X,B,11
20180419,X,C,41
20180419,X,D,5
20180419,X,E,69
20180419,Y,A,131
20180419,Y,B,18
20180419,Y,C,60
20180419,Y,D,17
20180419,Y,E,50
20180419,Z,A,84
20180419,Z,B,17
20180419,Z,C,45
20180419,Z,D,11
20180419,Z,E,56
20180420,X,A,186
20180420,X,B,28
20180420,X,C,57
20180420,X,D,4
20180420,X,E,54
20180420,Y,A,155
20180420,Y,B,45
20180420,Y,C,82
20180420,Y,D,12
20180420,Y,E,34
20180420,Z,A,102
20180420,Z,B,20
20180420,Z,C,46
20180420,Z,D,11
20180420,Z,E,35
20180421,Z,A,2
20180423,X,A,181
20180423,X,B,10
20180423,X,C,37
20180423,X,D,6
20180423,X,E,66
20180423,Y,A,134
20180423,Y,B,7
20180423,Y,C,71
20180423,Y,D,16
20180423,Y,E,38
20180423,Z,A,109
20180423,Z,B,12
20180423,Z,C,59
20180423,Z,D,13
20180423,Z,E,61
20180424,X,A,181
20180424,X,B,14
20180424,X,C,43
20180424,X,D,6
20180424,X,E,51
20180424,Y,A,140
20180424,Y,B,5
20180424,Y,C,71
20180424,Y,D,13
20180424,Y,E,39
20180424,Z,A,110
20180424,Z,B,17
20180424,Z,C,58
20180424,Z,D,10
20180424,Z,E,43
20180425,X,A,191
20180425,X,B,16
20180425,X,C,43
20180425,X,D,8
20180425,X,E,69
20180425,Y,A,111
20180425,Y,B,7
20180425,Y,C,64
20180425,Y,D,14
20180425,Y,E,27
20180425,Z,A,94
20180425,Z,B,23
20180425,Z,C,57
20180425,Z,D,16
20180425,Z,E,62
20180426,X,A,196
20180426,X,B,20
20180426,X,C,26
20180426,X,D,5
20180426,X,E,56
20180426,Y,A,160
20180426,Y,B,27
20180426,Y,C,66
20180426,Y,D,16
20180426,Y,E,36
20180426,Z,A,110
20180426,Z,B,19
20180426,Z,C,33
20180426,Z,D,13
20180426,Z,E,42
20180427,X,A,198
20180427,X,B,12
20180427,X,C,20
20180427,X,D,5
20180427,X,E,33
20180427,Y,A,160
20180427,Y,B,15
20180427,Y,C,41
20180427,Y,D,11
20180427,Y,E,27
20180427,Z,A,97
20180427,Z,B,18
20180427,Z,C,39
20180427,Z,D,12
20180427,Z,E,44
20180501,X,A,150
20180501,X,B,14
20180501,X,C,20
20180501,X,D,3
20180501,X,E,30
20180501,Y,A,113
20180501,Y,B,18
20180501,Y,C,49
20180501,Y,D,5
20180501,Y,E,17
20180501,Z,A,100
20180501,Z,B,14
20180501,Z,C,33
20180501,Z,D,6
20180501,Z,E,38
20180502,X,A,142
20180502,X,B,7
20180502,X,C,20
20180502,X,D,4
20180502,X,E,32
20180502,Y,A,107
20180502,Y,B,6
20180502,Y,C,30
20180502,Y,D,3
20180502,Y,E,5
20180502,Z,A,86
20180502,Z,B,42
20180502,Z,C,30
20180502,Z,D,9
20180502,Z,E,40
20180507,X,A,199
20180507,X,B,6
20180507,X,C,22
20180507,X,D,8
20180507,X,E,52
20180507,Y,A,150
20180507,Y,B,3
20180507,Y,C,44
20180507,Y,D,13
20180507,Y,E,40
20180507,Z,A,109
20180507,Z,B,5
20180507,Z,C,44
20180507,Z,D,15
20180507,Z,E,54
20180508,X,A,177
20180508,X,B,12
20180508,X,C,16
20180508,X,D,11
20180508,X,E,83
20180508,Y,A,133
20180508,Y,B,7
20180508,Y,C,40
20180508,Y,D,21
20180508,Y,E,52
20180508,Z,A,100
20180508,Z,B,5
20180508,Z,C,40
20180508,Z,D,18
20180508,Z,E,77
20180509,X,A,170
20180509,X,B,9
20180509,X,C,10
20180509,X,D,18
20180509,X,E,98
20180509,Y,A,104
20180509,Y,B,6
20180509,Y,C,17
20180509,Y,D,21
20180509,Y,E,63
20180509,Z,A,87
20180509,Z,B,10
20180509,Z,C,19
20180509,Z,D,20
20180509,Z,E,89
20180510,X,A,166
20180510,X,B,14
20180510,X,C,13
20180510,X,D,10
20180510,X,E,77
20180510,Y,A,136
20180510,Y,B,15
20180510,Y,C,36
20180510,Y,D,19
20180510,Y,E,54
20180510,Z,A,96
20180510,Z,B,14
20180510,Z,C,32
20180510,Z,D,19
20180510,Z,E,57
20180511,X,A,175
20180511,X,B,17
20180511,X,C,18
20180511,X,D,9
20180511,X,E,50
20180511,Y,A,150
20180511,Y,B,16
20180511,Y,C,43
20180511,Y,D,21
20180511,Y,E,26
20180511,Z,A,111
20180511,Z,B,14
20180511,Z,C,25
20180511,Z,D,15
20180511,Z,E,41
20180514,X,A,205
20180514,X,B,19
20180514,X,C,31
20180514,X,D,7
20180514,X,E,44
20180514,Y,A,188
20180514,Y,B,17
20180514,Y,C,57
20180514,Y,D,12
20180514,Y,E,29
20180514,Z,A,115
20180514,Z,B,15
20180514,Z,C,43
20180514,Z,D,14
20180514,Z,E,32
20180515,X,A,188
20180515,X,B,19
20180515,X,C,31
20180515,X,D,7
20180515,X,E,38
20180515,Y,A,179
20180515,Y,B,29
20180515,Y,C,79
20180515,Y,D,12
20180515,Y,E,17
20180515,Z,A,108
20180515,Z,B,28
20180515,Z,C,39
20180515,Z,D,10
20180515,Z,E,34
20180516,X,A,195
20180516,X,B,20
20180516,X,C,29
20180516,X,D,10
20180516,X,E,34
20180516,Y,A,146
20180516,Y,B,25
20180516,Y,C,73
20180516,Y,D,12
20180516,Y,E,11
20180516,Z,A,103
20180516,Z,B,16
20180516,Z,C,39
20180516,Z,D,15
20180516,Z,E,32
20180517,X,A,184
20180517,X,B,19
20180517,X,C,31
20180517,X,D,6
20180517,X,E,38
20180517,Y,A,176
20180517,Y,B,25
20180517,Y,C,73
20180517,Y,D,13
20180517,Y,E,28
20180517,Z,A,96
20180517,Z,B,12
20180517,Z,C,36
20180517,Z,D,12
20180517,Z,E,36
20180518,X,A,207
20180518,X,B,19
20180518,X,C,33
20180518,X,D,9
20180518,X,E,34
20180518,Y,A,193
20180518,Y,B,21
20180518,Y,C,103
20180518,Y,D,12
20180518,Y,E,20
20180518,Z,A,116
20180518,Z,B,23
20180518,Z,C,47
20180518,Z,D,11
20180518,Z,E,21
20180521,X,A,238
20180521,X,B,15
20180521,X,C,24
20180521,X,D,6
20180521,X,E,41
20180521,Y,A,167
20180521,Y,B,10
20180521,Y,C,55
20180521,Y,D,8
20180521,Y,E,27
20180521,Z,A,116
20180521,Z,B,19
20180521,Z,C,41
20180521,Z,D,14
20180521,Z,E,40
20180522,X,A,200
20180522,X,B,24
20180522,X,C,30
20180522,X,D,6
20180522,X,E,34
20180522,Y,A,207
20180522,Y,B,24
20180522,Y,C,92
20180522,Y,D,11
20180522,Y,E,21
20180522,Z,A,121
20180522,Z,B,15
20180522,Z,C,41
20180522,Z,D,14
20180522,Z,E,25
20180523,X,A,199
20180523,X,B,29
20180523,X,C,23
20180523,X,D,14
20180523,X,E,42
20180523,Y,A,152
20180523,Y,B,15
20180523,Y,C,47
20180523,Y,D,16
20180523,Y,E,23
20180523,Z,A,102
20180523,Z,B,11
20180523,Z,C,43
20180523,Z,D,13
20180523,Z,E,45
20180524,X,A,205
20180524,X,B,33
20180524,X,C,25
20180524,X,D,9
20180524,X,E,41
20180524,Y,A,180
20180524,Y,B,47
20180524,Y,C,70
20180524,Y,D,10
20180524,Y,E,14
20180524,Z,A,105
20180524,Z,B,27
20180524,Z,C,49
20180524,Z,D,11
20180524,Z,E,26
20180525,X,A,188
20180525,X,B,69
20180525,X,C,45
20180525,X,D,3
20180525,X,E,29
20180525,Y,A,162
20180525,Y,B,28
20180525,Y,C,149
20180525,Y,D,7
20180525,Y,E,17
20180525,Z,A,102
20180525,Z,B,19
20180525,Z,C,70
20180525,Z,D,7
20180525,Z,E,21
20180528,X,A,183
20180528,X,B,23
20180528,X,C,47
20180528,X,D,9
20180528,X,E,46
20180528,Y,A,159
20180528,Y,B,17
20180528,Y,C,108
20180528,Y,D,12
20180528,Y,E,32
20180528,Z,A,114
20180528,Z,B,14
20180528,Z,C,74
20180528,Z,D,12
20180528,Z,E,40
20180529,X,A,224
20180529,X,B,17
20180529,X,C,57
20180529,X,D,5
20180529,X,E,36
20180529,Y,A,172
20180529,Y,B,17
20180529,Y,C,125
20180529,Y,D,5
20180529,Y,E,28
20180529,Z,A,98
20180529,Z,B,18
20180529,Z,C,83
20180529,Z,D,10
20180529,Z,E,32
20180530,X,A,166
20180530,X,B,64
20180530,X,C,27
20180530,X,D,9
20180530,X,E,35
20180530,Y,A,179
20180530,Y,B,13
20180530,Y,C,71
20180530,Y,D,11
20180530,Y,E,23
20180530,Z,A,103
20180530,Z,B,38
20180530,Z,C,41
20180530,Z,D,17
20180530,Z,E,29
20180531,X,A,154
20180531,X,B,60
20180531,X,C,18
20180531,X,D,11
20180531,X,E,46
20180531,Y,A,159
20180531,Y,B,11
20180531,Y,C,51
20180531,Y,D,13
20180531,Y,E,20
20180531,Z,A,161
20180531,Z,B,14
20180531,Z,C,32
20180531,Z,D,11
20180531,Z,E,27
20180601,X,A,182
20180601,X,B,19
20180601,X,C,22
20180601,X,D,7
20180601,X,E,33
20180601,Y,A,174
20180601,Y,B,27
20180601,Y,C,69
20180601,Y,D,14
20180601,Y,E,17
20180601,Z,A,104
20180601,Z,B,19
20180601,Z,C,38
20180601,Z,D,15
20180601,Z,E,25
20180604,X,A,184
20180604,X,B,85
20180604,X,C,23
20180604,X,D,7
20180604,X,E,38
20180604,Y,A,181
20180604,Y,B,28
20180604,Y,C,69
20180604,Y,D,12
20180604,Y,E,19
20180604,Z,A,137
20180604,Z,B,12
20180604,Z,C,44
20180604,Z,D,14
20180604,Z,E,31
20180605,X,A,195
20180605,X,B,19
20180605,X,C,59
20180605,X,D,10
20180605,X,E,41
20180605,Y,A,219
20180605,Y,B,17
20180605,Y,C,121
20180605,Y,D,16
20180605,Y,E,17
20180605,Z,A,139
20180605,Z,B,14
20180605,Z,C,62
20180605,Z,D,19
20180605,Z,E,29
20180606,X,A,203
20180606,X,B,19
20180606,X,C,28
20180606,X,D,12
20180606,X,E,47
20180606,Y,A,141
20180606,Y,B,17
20180606,Y,C,77
20180606,Y,D,21
20180606,Y,E,15
20180606,Z,A,140
20180606,Z,B,21
20180606,Z,C,55
20180606,Z,D,18
20180606,Z,E,36
20180607,X,A,189
20180607,X,B,18
20180607,X,C,46
20180607,X,D,10
20180607,X,E,42
20180607,Y,A,207
20180607,Y,B,25
20180607,Y,C,116
20180607,Y,D,16
20180607,Y,E,33
20180607,Z,A,120
20180607,Z,B,17
20180607,Z,C,58
20180607,Z,D,19
20180607,Z,E,30
20180608,X,A,181
20180608,X,B,109
20180608,X,C,38
20180608,X,D,9
20180608,X,E,30
20180608,Y,A,164
20180608,Y,B,31
20180608,Y,C,87
20180608,Y,D,10
20180608,Y,E,20
20180608,Z,A,110
20180608,Z,B,18
20180608,Z,C,49
20180608,Z,D,14
20180608,Z,E,24
20180611,X,A,188
20180611,X,B,13
20180611,X,C,29
20180611,X,D,11
20180611,X,E,49
20180611,Y,A,122
20180611,Y,B,5
20180611,Y,C,72
20180611,Y,D,18
20180611,Y,E,38
20180611,Z,A,111
20180611,Z,B,11
20180611,Z,C,61
20180611,Z,D,20
20180611,Z,E,46
20180612,X,A,179
20180612,X,B,25
20180612,X,C,36
20180612,X,D,5
20180612,X,E,30
20180612,Y,A,171
20180612,Y,B,35
20180612,Y,C,83
20180612,Y,D,8
20180612,Y,E,24
20180612,Z,A,121
20180612,Z,B,32
20180612,Z,C,45
20180612,Z,D,14
20180612,Z,E,25
20180613,X,A,168
20180613,X,B,24
20180613,X,C,29
20180613,X,D,3
20180613,X,E,30
20180613,Y,A,184
20180613,Y,B,20
20180613,Y,C,62
20180613,Y,D,6
20180613,Y,E,11
20180613,Z,A,122
20180613,Z,B,79
20180613,Z,C,43
20180613,Z,D,11
20180613,Z,E,33
20180614,X,A,173
20180614,X,B,23
20180614,X,C,20
20180614,X,D,7
20180614,X,E,32
20180614,Y,A,151
20180614,Y,B,17
20180614,Y,C,63
20180614,Y,D,12
20180614,Y,E,19
20180614,Z,A,110
20180614,Z,B,17
20180614,Z,C,33
20180614,Z,D,12
20180614,Z,E,26
20180615,X,A,189
20180615,X,B,18
20180615,X,C,20
20180615,X,D,8
20180615,X,E,32
20180615,Y,A,142
20180615,Y,B,19
20180615,Y,C,57
20180615,Y,D,12
20180615,Y,E,29
20180615,Z,A,96
20180615,Z,B,163
20180615,Z,C,30
20180615,Z,D,14
20180615,Z,E,38
20180618,X,A,162
20180618,X,B,10
20180618,X,C,23
20180618,X,D,6
20180618,X,E,53
20180618,Y,A,158
20180618,Y,B,13
20180618,Y,C,58
20180618,Y,D,12
20180618,Y,E,19
20180618,Z,A,134
20180618,Z,B,13
20180618,Z,C,36
20180618,Z,D,11
20180618,Z,E,29
20180619,X,A,172
20180619,X,B,23
20180619,X,C,28
20180619,X,D,7
20180619,X,E,39
20180619,Y,A,167
20180619,Y,B,16
20180619,Y,C,75
20180619,Y,D,11
20180619,Y,E,19
20180619,Z,A,105
20180619,Z,B,23
20180619,Z,C,49
20180619,Z,D,8
20180619,Z,E,25
20180620,X,A,178
20180620,X,B,16
20180620,X,C,25
20180620,X,D,4
20180620,X,E,34
20180620,Y,A,115
20180620,Y,B,18
20180620,Y,C,36
20180620,Y,D,13
20180620,Y,E,8
20180620,Z,A,84
20180620,Z,B,12
20180620,Z,C,45
20180620,Z,D,18
20180620,Z,E,48
20180621,X,A,163
20180621,X,B,25
20180621,X,C,26
20180621,X,D,10
20180621,X,E,37
20180621,Y,A,142
20180621,Y,B,15
20180621,Y,C,79
20180621,Y,D,15
20180621,Y,E,16
20180621,Z,A,106
20180621,Z,B,31
20180621,Z,C,49
20180621,Z,D,12
20180621,Z,E,36
20180622,X,A,181
20180622,X,B,21
20180622,X,C,28
20180622,X,D,6
20180622,X,E,27
20180622,Y,A,184
20180622,Y,B,21
20180622,Y,C,57
20180622,Y,D,13
20180622,Y,E,11
20180622,Z,A,90
20180622,Z,B,21
20180622,Z,C,34
20180622,Z,D,11
20180622,Z,E,25
20180625,X,A,185
20180625,X,B,17
20180625,X,C,34
20180625,X,D,3
20180625,X,E,29
20180625,Y,A,202
20180625,Y,B,22
20180625,Y,C,113
20180625,Y,D,6
20180625,Y,E,8
20180625,Z,A,105
20180625,Z,B,20
20180625,Z,C,54
20180625,Z,D,8
20180625,Z,E,21
20180626,X,A,192
20180626,X,B,32
20180626,X,C,30
20180626,X,D,6
20180626,X,E,21
20180626,Y,A,186
20180626,Y,B,26
20180626,Y,C,92
20180626,Y,D,12
20180626,Y,E,12
20180626,Z,A,117
20180626,Z,B,19
20180626,Z,C,51
20180626,Z,D,20
20180626,Z,E,19
20180627,X,A,200
20180627,X,B,22
20180627,X,C,39
20180627,X,D,9
20180627,X,E,26
20180627,Y,A,200
20180627,Y,B,29
20180627,Y,C,84
20180627,Y,D,11
20180627,Y,E,5
20180627,Z,A,113
20180627,Z,B,18
20180627,Z,C,44
20180627,Z,D,13
20180627,Z,E,28
20180628,X,A,191
20180628,X,B,17
20180628,X,C,29
20180628,X,D,7
20180628,X,E,30
20180628,Y,A,167
20180628,Y,B,37
20180628,Y,C,99
20180628,Y,D,13
20180628,Y,E,17
20180628,Z,A,107
20180628,Z,B,20
20180628,Z,C,49
20180628,Z,D,16
20180628,Z,E,28
20180629,X,A,198
20180629,X,B,26
20180629,X,C,29
20180629,X,D,5
20180629,X,E,25
20180629,Y,A,212
20180629,Y,B,27
20180629,Y,C,64
20180629,Y,D,13
20180629,Y,E,4
20180629,Z,A,109
20180629,Z,B,23
20180629,Z,C,48
20180629,Z,D,18
20180629,Z,E,22
20180702,X,A,188
20180702,X,B,18
20180702,X,C,37
20180702,X,D,4
20180702,X,E,27
20180702,Y,A,219
20180702,Y,B,18
20180702,Y,C,108
20180702,Y,D,8
20180702,Y,E,13
20180702,Z,A,146
20180702,Z,B,19
20180702,Z,C,60
20180702,Z,D,12
20180702,Z,E,28
20180703,X,A,196
20180703,X,B,30
20180703,X,C,31
20180703,X,D,7
20180703,X,E,21
20180703,Y,A,187
20180703,Y,B,20
20180703,Y,C,89
20180703,Y,D,7
20180703,Y,E,18
20180703,Z,A,112
20180703,Z,B,18
20180703,Z,C,51
20180703,Z,D,14
20180703,Z,E,21
20180704,X,A,190
20180704,X,B,23
20180704,X,C,32
20180704,X,D,4
20180704,X,E,28
20180704,Y,A,194
20180704,Y,B,27
20180704,Y,C,92
20180704,Y,D,3
20180704,Y,E,15
20180704,Z,A,114
20180704,Z,B,24
20180704,Z,C,51
20180704,Z,D,13
20180704,Z,E,26
20180705,X,A,203
20180705,X,B,18
20180705,X,C,31
20180705,X,D,6
20180705,X,E,27
20180705,Y,A,175
20180705,Y,B,29
20180705,Y,C,72
20180705,Y,D,14
20180705,Y,E,15
20180705,Z,A,128
20180705,Z,B,24
20180705,Z,C,53
20180705,Z,D,14
20180705,Z,E,32
20180706,X,A,187
20180706,X,B,34
20180706,X,C,19
20180706,X,D,5
20180706,X,E,33
20180706,Y,A,142
