nichi,corona,emargency
20181229,0,0
20181230,0,0
20181231,0,0
20190101,0,0
20190102,0,0
20190103,0,0
20190104,0,0
20190105,0,0
20190106,0,0
20190107,0,0
20190108,0,0
20190109,0,0
20190110,0,0
20190111,0,0
20190112,0,0
20190113,0,0
20190114,0,0
20190115,0,0
20190116,0,0
20190117,0,0
20190118,0,0
20190119,0,0
20190120,0,0
20190121,0,0
20190122,0,0
20190123,0,0
20190124,0,0
20190125,0,0
20190126,0,0
20190127,0,0
20190128,0,0
20190129,0,0
20190130,0,0
20190131,0,0
20190201,0,0
20190202,0,0
20190203,0,0
20190204,0,0
20190205,0,0
20190206,0,0
20190207,0,0
20190208,0,0
20190209,0,0
20190210,0,0
20190211,0,0
20190212,0,0
20190213,0,0
20190214,0,0
20190215,0,0
20190216,0,0
20190217,0,0
20190218,0,0
20190219,0,0
20190220,0,0
20190221,0,0
20190222,0,0
20190223,0,0
20190224,0,0
20190225,0,0
20190226,0,0
20190227,0,0
20190228,0,0
20190301,0,0
20190302,0,0
20190303,0,0
20190304,0,0
20190305,0,0
20190306,0,0
20190307,0,0
20190308,0,0
20190309,0,0
20190310,0,0
20190311,0,0
20190312,0,0
20190313,0,0
20190314,0,0
20190315,0,0
20190316,0,0
20190317,0,0
20190318,0,0
20190319,0,0
20190320,0,0
20190321,0,0
20190322,0,0
20190323,0,0
20190324,0,0
20190325,0,0
20190326,0,0
20190327,0,0
20190328,0,0
20190329,0,0
20190330,0,0
20190331,0,0
20190401,0,0
20190402,0,0
20190403,0,0
20190404,0,0
20190405,0,0
20190406,0,0
20190407,0,0
20190408,0,0
20190409,0,0
20190410,0,0
20190411,0,0
20190412,0,0
20190413,0,0
20190414,0,0
20190415,0,0
20190416,0,0
20190417,0,0
20190418,0,0
20190419,0,0
20190420,0,0
20190421,0,0
20190422,0,0
20190423,0,0
20190424,0,0
20190425,0,0
20190426,0,0
20190427,0,0
20190428,0,0
20190429,0,0
20190430,0,0
20190501,0,0
20190502,0,0
20190503,0,0
20190504,0,0
20190505,0,0
20190506,0,0
20190507,0,0
20190508,0,0
20190509,0,0
20190510,0,0
20190511,0,0
20190512,0,0
20190513,0,0
20190514,0,0
20190515,0,0
20190516,0,0
20190517,0,0
20190518,0,0
20190519,0,0
20190520,0,0
20190521,0,0
20190522,0,0
20190523,0,0
20190524,0,0
20190525,0,0
20190526,0,0
20190527,0,0
20190528,0,0
20190529,0,0
20190530,0,0
20190531,0,0
20190601,0,0
20190602,0,0
20190603,0,0
20190604,0,0
20190605,0,0
20190606,0,0
20190607,0,0
20190608,0,0
20190609,0,0
20190610,0,0
20190611,0,0
20190612,0,0
20190613,0,0
20190614,0,0
20190615,0,0
20190616,0,0
20190617,0,0
20190618,0,0
20190619,0,0
20190620,0,0
20190621,0,0
20190622,0,0
20190623,0,0
20190624,0,0
20190625,0,0
20190626,0,0
20190627,0,0
20190628,0,0
20190629,0,0
20190630,0,0
20190701,0,0
20190702,0,0
20190703,0,0
20190704,0,0
20190705,0,0
20190706,0,0
20190707,0,0
20190708,0,0
20190709,0,0
20190710,0,0
20190711,0,0
20190712,0,0
20190713,0,0
20190714,0,0
20190715,0,0
20190716,0,0
20190717,0,0
20190718,0,0
20190719,0,0
20190720,0,0
20190721,0,0
20190722,0,0
20190723,0,0
20190724,0,0
20190725,0,0
20190726,0,0
20190727,0,0
20190728,0,0
20190729,0,0
20190730,0,0
20190731,0,0
20190801,0,0
20190802,0,0
20190803,0,0
20190804,0,0
20190805,0,0
20190806,0,0
20190807,0,0
20190808,0,0
20190809,0,0
20190810,0,0
20190811,0,0
20190812,0,0
20190813,0,0
20190814,0,0
20190815,0,0
20190816,0,0
20190817,0,0
20190818,0,0
20190819,0,0
20190820,0,0
20190821,0,0
20190822,0,0
20190823,0,0
20190824,0,0
20190825,0,0
20190826,0,0
20190827,0,0
20190828,0,0
20190829,0,0
20190830,0,0
20190831,0,0
20190901,0,0
20190902,0,0
20190903,0,0
20190904,0,0
20190905,0,0
20190906,0,0
20190907,0,0
20190908,0,0
20190909,0,0
20190910,0,0
20190911,0,0
20190912,0,0
20190913,0,0
20190914,0,0
20190915,0,0
20190916,0,0
20190917,0,0
20190918,0,0
20190919,0,0
20190920,0,0
20190921,0,0
20190922,0,0
20190923,0,0
20190924,0,0
20190925,0,0
20190926,0,0
20190927,0,0
20190928,0,0
20190929,0,0
20190930,0,0
20191001,0,0
20191002,0,0
20191003,0,0
20191004,0,0
20191005,0,0
20191006,0,0
20191007,0,0
20191008,0,0
20191009,0,0
20191010,0,0
20191011,0,0
20191012,0,0
20191013,0,0
20191014,0,0
20191015,0,0
20191016,0,0
20191017,0,0
20191018,0,0
20191019,0,0
20191020,0,0
20191021,0,0
20191022,0,0
20191023,0,0
20191024,0,0
20191025,0,0
20191026,0,0
20191027,0,0
20191028,0,0
20191029,0,0
20191030,0,0
20191031,0,0
20191101,0,0
20191102,0,0
20191103,0,0
20191104,0,0
20191105,0,0
20191106,0,0
20191107,0,0
20191108,0,0
20191109,0,0
20191110,0,0
20191111,0,0
20191112,0,0
20191113,0,0
20191114,0,0
20191115,0,0
20191116,0,0
20191117,0,0
20191118,0,0
20191119,0,0
20191120,0,0
20191121,0,0
20191122,0,0
20191123,0,0
20191124,0,0
20191125,0,0
20191126,0,0
20191127,0,0
20191128,0,0
20191129,0,0
20191130,0,0
20191201,0,0
20191202,0,0
20191203,0,0
20191204,0,0
20191205,0,0
20191206,0,0
20191207,0,0
20191208,0,0
20191209,0,0
20191210,0,0
20191211,0,0
20191212,0,0
20191213,0,0
20191214,0,0
20191215,0,0
20191216,0,0
20191217,0,0
20191218,0,0
20191219,0,0
20191220,0,0
20191221,0,0
20191222,0,0
20191223,0,0
20191224,0,0
20191225,0,0
20191226,0,0
20191227,0,0
20191228,0,0
20191229,0,0
20191230,0,0
20191231,0,0
20200101,0,0
20200102,0,0
20200103,0,0
20200104,0,0
20200105,0,0
20200106,0,0
20200107,0,0
20200108,0,0
20200109,0,0
20200110,0,0
20200111,0,0
20200112,0,0
20200113,0,0
20200114,0,0
20200115,0,0
20200116,0,0
20200117,0,0
20200118,0,0
20200119,0,0
20200120,0,0
20200121,0,0
20200122,0,0
20200123,0,0
20200124,0,0
20200125,0,0
20200126,0,0
20200127,0,0
20200128,0,0
20200129,0,0
20200130,0,0
20200131,0,0
20200201,0,0
20200202,0,0
20200203,0,0
20200204,0,0
20200205,0,0
20200206,0,0
20200207,0,0
20200208,0,0
20200209,0,0
20200210,0,0
20200211,0,0
20200212,0,0
20200213,0,0
20200214,0,0
20200215,0,0
20200216,0,0
20200217,0,0
20200218,0,0
20200219,0,0
20200220,0,0
20200221,0,0
20200222,0,0
20200223,0,0
20200224,0,0
20200225,0,0
20200226,0,0
20200227,0,0
20200228,0,0
20200229,0,0
20200301,1,0
20200302,1,0
20200303,1,0
20200304,1,0
20200305,1,0
20200306,1,0
20200307,1,0
20200308,1,0
20200309,1,0
20200310,1,0
20200311,1,0
20200312,1,0
20200313,1,0
20200314,1,0
20200315,1,0
20200316,1,0
20200317,1,0
20200318,1,0
20200319,1,0
20200320,1,0
20200321,1,0
20200322,1,0
20200323,1,0
20200324,1,0
20200325,1,0
20200326,1,0
20200327,1,0
20200328,1,0
20200329,1,0
20200330,1,0
20200331,1,0
20200401,1,0
20200402,1,0
20200403,1,0
20200404,1,0
20200405,1,0
20200406,1,0
20200407,1,1
20200408,1,1
20200409,1,1
20200410,1,1
20200411,1,1
20200412,1,1
20200413,1,1
20200414,1,1
20200415,1,1
20200416,1,1
20200417,1,1
20200418,1,1
20200419,1,1
20200420,1,1
20200421,1,1
20200422,1,1
20200423,1,1
20200424,1,1
20200425,1,1
20200426,1,1
20200427,1,1
20200428,1,1
20200429,1,1
20200430,1,1
20200501,1,1
20200502,1,1
20200503,1,1
20200504,1,1
20200505,1,1
20200506,1,1
20200507,1,1
20200508,1,1
20200509,1,1
20200510,1,1
20200511,1,1
20200512,1,1
20200513,1,1
20200514,1,1
20200515,1,1
20200516,1,1
20200517,1,1
20200518,1,1
20200519,1,1
20200520,1,1
20200521,1,1
20200522,1,1
20200523,1,1
20200524,1,1
20200525,1,1
20200526,1,1
20200527,1,1
20200528,1,1
20200529,1,1
20200530,1,1
20200531,1,1
20200601,1,1
20200602,1,1
20200603,1,1
20200604,1,1
20200605,1,1
20200606,1,1
20200607,1,1
20200608,1,1
20200609,1,1
20200610,1,1
20200611,1,1
20200612,1,1
20200613,1,1
20200614,1,1
20200615,1,1
20200616,1,1
20200617,1,1
20200618,1,1
20200619,1,1
20200620,1,1
20200621,1,1
20200622,1,1
20200623,1,1
20200624,1,1
20200625,1,1
20200626,1,1
20200627,1,1
20200628,1,1
20200629,1,1
20200630,1,1
