nichi,group_mise,kyaku_param
20180817,Y,0.63455
20180817,Z,0.57568
20180820,X,0.80729
20180820,Y,0.84275
20180820,Z,0.7508
20180821,X,0.8304
20180821,Y,0.84129
20180821,Z,0.63914
20180822,X,0.79878
20180822,Y,0.82313
20180822,Z,0.67246
20180823,X,0.80547
20180823,Y,0.83309
20180823,Z,0.6721
20180824,X,0.76565
20180824,Y,0.72035
20180824,Z,0.64339
20180827,X,0.79271
20180827,Y,0.89224
20180827,Z,0.73875
20180828,X,0.82675
20180828,Y,0.83397
20180828,Z,0.63984
20180829,X,0.8155
20180829,Y,0.80761
20180829,Z,0.62956
20180830,X,0.8304
20180830,Y,0.84949
20180830,Z,0.65899
20180831,X,0.79179
20180831,Y,0.81347
20180831,Z,0.61893
20180903,X,0.83769
20180903,Y,0.85359
20180903,Z,0.74513
20180904,X,0.81672
20180904,Y,0.7142
20180904,Z,0.69124
20180905,X,0.82249
20180905,Y,0.83865
20180905,Z,0.69408
20180906,X,0.831
20180906,Y,0.87379
20180906,Z,0.68912
20180907,X,0.77477
20180907,Y,0.77335
20180907,Z,0.64091
20180910,X,0.88693
20180910,Y,0.84392
20180910,Z,0.82701
20180911,X,0.89119
20180911,Y,0.80732
20180911,Z,0.70259
20180912,X,0.88632
20180912,Y,0.81962
20180912,Z,0.72315
20180913,X,0.87082
20180913,Y,0.81991
20180913,Z,0.69727
20180914,X,0.82857
20180914,Y,0.70688
20180914,Z,0.70401
20180918,X,0.90152
20180918,Y,0.86647
20180918,Z,0.75328
20180919,X,0.89331
20180919,Y,0.82987
20180919,Z,0.69798
20180920,X,0.90821
20180920,Y,0.76193
20180920,Z,0.70471
20180921,X,0.85228
20180921,Y,0.68082
20180921,Z,0.71358
20180925,X,0.89058
20180925,Y,0.75256
20180925,Z,0.75222
20180926,X,0.8769
20180926,Y,0.77452
20180926,Z,0.68203
20180927,X,0.87173
20180927,Y,0.78038
20180927,Z,0.70861
20180928,X,0.85258
20180928,Y,0.79063
20180928,Z,0.63843
20181001,X,0.91398
20181001,Y,0.86589
20181001,Z,0.82737
20181002,X,0.9003
20181002,Y,0.86735
20181002,Z,0.70755
20181003,X,0.92766
20181003,Y,0.86618
20181003,Z,0.71145
20181004,X,0.92128
20181004,Y,0.87379
20181004,Z,0.75363
20181005,X,0.86049
20181005,Y,0.73939
20181005,Z,0.71712
20181009,X,0.93587
20181009,Y,0.88023
20181009,Z,0.72669
20181010,X,0.91672
20181010,Y,0.88023
20181010,Z,0.7157
20181011,X,0.90608
20181011,Y,0.85915
20181011,Z,0.76356
20181012,X,0.87994
20181012,Y,0.80556
20181012,Z,0.69762
20181015,X,0.89119
20181015,Y,0.89195
20181015,Z,0.84686
20181016,X,0.89544
20181016,Y,0.83748
20181016,Z,0.72386
20181017,X,0.87082
20181017,Y,0.82548
20181017,Z,0.70968
20181018,X,0.88359
20181018,Y,0.87204
20181018,Z,0.72386
20181019,X,0.869
20181019,Y,0.80176
20181019,Z,0.67565
20181022,X,0.86991
20181022,Y,0.89898
20181022,Z,0.83942
20181023,X,0.87538
20181023,Y,0.83602
20181023,Z,0.76604
20181024,X,0.89818
20181024,Y,0.85739
20181024,Z,0.72847
20181025,X,0.90243
20181025,Y,0.84246
20181025,Z,0.74938
20181026,X,0.83191
20181026,Y,0.81113
20181026,Z,0.68238
20181029,X,0.89848
20181029,Y,0.88902
20181029,Z,0.85218
20181030,X,0.94225
20181030,Y,0.86676
20181030,Z,0.74725
20181031,X,0.9304
20181031,Y,0.9022
20181031,Z,0.80822
20181101,X,0.95167
20181101,Y,0.89458
20181101,Z,0.78518
20181102,X,0.89666
20181102,Y,0.83953
20181102,Z,0.76356
20181105,X,0.96687
20181105,Y,0.96984
20181105,Z,0.89011
20181106,X,0.9924
20181106,Y,0.85007
20181106,Z,0.85785
20181107,X,0.931
20181107,Y,0.88521
20181107,Z,0.81567
20181108,X,0.93799
20181108,Y,0.87584
20181108,Z,0.81992
20181109,X,0.90365
20181109,Y,0.80059
20181109,Z,0.7632
20181112,X,0.95805
20181112,Y,0.92914
20181112,Z,0.92627
20181113,X,0.93526
20181113,Y,0.84334
20181113,Z,0.76959
20181114,X,0.87295
20181114,Y,0.83104
20181114,Z,0.78837
20181115,X,0.88389
20181115,Y,0.83455
20181115,Z,0.76108
20181116,X,0.85684
20181116,Y,0.78594
20181116,Z,0.70294
20181119,X,0.92219
20181119,Y,0.88638
20181119,Z,0.82949
20181120,X,0.89483
20181120,Y,0.83719
20181120,Z,0.75363
20181121,X,0.91033
20181121,Y,0.84217
20181121,Z,0.7508
20181122,X,0.84985
20181122,Y,0.8246
20181122,Z,0.73839
20181126,X,0.87508
20181126,Y,0.84714
20181126,Z,0.78518
20181127,X,0.87325
20181127,Y,0.81288
20181127,Z,0.75151
20181128,X,0.89574
20181128,Y,0.82167
20181128,Z,0.76498
20181129,X,0.87508
20181129,Y,0.84392
20181129,Z,0.73414
20181130,X,0.8383
20181130,Y,0.78858
20181130,Z,0.7072
20181203,X,0.88815
20181203,Y,0.91303
20181203,Z,0.88976
20181204,X,0.92584
20181204,Y,0.86559
20181204,Z,0.76143
20181205,X,0.86778
20181205,Y,0.83367
20181205,Z,0.77455
20181206,X,0.91185
20181206,Y,0.71479
20181206,Z,0.82099
20181207,X,0.84134
20181207,Y,0.82899
20181207,Z,0.70932
20181210,X,0.87751
20181210,Y,0.84949
20181210,Z,0.83623
20181211,X,0.89909
20181211,Y,0.80878
20181211,Z,0.77029
20181212,X,0.86413
20181212,Y,0.74143
20181212,Z,0.7827
20181213,X,0.89088
20181213,Y,0.79239
20181213,Z,0.78837
20181214,X,0.85684
20181214,Y,0.77013
20181214,Z,0.70932
20181217,X,0.89058
20181217,Y,0.80322
20181217,Z,0.86742
20181218,X,0.87477
20181218,Y,0.80878
20181218,Z,0.74194
20181219,X,0.86505
20181219,Y,0.81786
20181219,Z,0.77526
20181220,X,0.90638
20181220,Y,0.84392
20181220,Z,0.73095
20181221,X,0.85471
20181221,Y,0.79473
20181221,Z,0.67387
20181225,X,0.89027
20181225,Y,0.76896
20181225,Z,0.74796
20181226,X,0.87325
20181226,Y,0.77892
20181226,Z,0.73343
20181227,X,0.68997
20181227,Y,0.85739
20181227,Z,0.54272
20190107,X,0.82857
20190107,Y,0.82811
20190107,Z,0.77455
20190108,X,0.85684
20190108,Y,0.80527
20190108,Z,0.73875
20190109,X,0.88298
20190109,Y,0.79473
20190109,Z,0.70471
20190110,X,0.90821
20190110,Y,0.78712
20190110,Z,0.7391
20190111,X,0.87021
20190111,Y,0.78887
20190111,Z,0.71854
20190115,X,0.9076
20190115,Y,0.7754
20190115,Z,0.76817
20190116,X,0.89271
20190116,Y,0.78184
20190116,Z,0.743
20190117,X,0.86413
20190117,Y,0.79941
20190117,Z,0.75753
20190118,X,0.83678
20190118,Y,0.7675
20190118,Z,0.71145
20190121,X,0.85897
20190121,Y,0.83426
20190121,Z,0.8061
20190122,X,0.89635
20190122,Y,0.76252
20190122,Z,0.6994
20190123,X,0.9
20190123,Y,0.79122
20190123,Z,0.73378
20190124,X,0.89058
20190124,Y,0.80059
20190124,Z,0.74371
20190125,X,0.86261
20190125,Y,0.76428
20190125,Z,0.6597
20190128,X,0.89119
20190128,Y,0.80234
20190128,Z,0.77597
20190129,X,0.8693
20190129,Y,0.78653
20190129,Z,0.74796
20190130,X,0.88085
20190130,Y,0.759
20190130,Z,0.70684
20190131,X,0.88024
20190131,Y,0.78536
20190131,Z,0.70507
20190201,X,0.88328
20190201,Y,0.75725
20190201,Z,0.7111
20190204,X,0.89301
20190204,Y,0.86091
20190204,Z,0.83623
20190205,X,0.89453
20190205,Y,0.77365
20190205,Z,0.75009
20190206,X,0.93404
20190206,Y,0.70161
20190206,Z,0.80574
20190207,X,0.91064
20190207,Y,0.79707
20190207,Z,0.7625
20190208,X,0.87964
20190208,Y,0.74963
20190208,Z,0.70294
20190212,X,0.90851
20190212,Y,0.8041
20190212,Z,0.76356
20190213,X,0.8921
20190213,Y,0.76281
20190213,Z,0.75682
20190214,X,0.89939
20190214,Y,0.76223
20190214,Z,0.743
20190215,X,0.85775
20190215,Y,0.71654
20190215,Z,0.75363
20190218,X,0.89058
20190218,Y,0.85242
20190218,Z,0.84438
20190219,X,0.91976
20190219,Y,0.78829
20190219,Z,0.76781
20190220,X,0.90122
20190220,Y,0.81171
20190220,Z,0.71819
20190221,X,0.9076
20190221,Y,0.81816
20190221,Z,0.73662
20190222,X,0.87538
20190222,Y,0.76281
20190222,Z,0.6955
20190225,X,0.91672
20190225,Y,0.84685
20190225,Z,0.80078
20190226,X,0.94195
20190226,Y,0.83895
20190226,Z,0.74973
20190227,X,0.90699
20190227,Y,0.78887
20190227,Z,0.7469
20190228,X,0.92523
20190228,Y,0.70337
20190228,Z,0.8146
20190301,X,0.89453
20190301,Y,0.79649
20190301,Z,0.78199
20190304,X,0.95805
20190304,Y,0.74641
20190304,Z,0.89117
20190305,X,0.931
20190305,Y,0.83309
20190305,Z,0.80787
20190306,X,0.92705
20190306,Y,0.81142
20190306,Z,0.77738
20190307,X,0.92553
20190307,Y,0.73792
20190307,Z,0.77951
20190308,X,0.92067
20190308,Y,0.77511
20190308,Z,0.73272
20190311,X,0.89848
20190311,Y,0.84158
20190311,Z,0.82453
20190312,X,0.93556
20190312,Y,0.84627
20190312,Z,0.71854
20190313,X,0.92948
20190313,Y,0.8202
20190313,Z,0.71393
20190314,X,0.91216
20190314,Y,0.83163
20190314,Z,0.71429
20190315,X,0.89271
20190315,Y,0.79356
20190315,Z,0.68345
20190318,X,0.91854
20190318,Y,0.86413
20190318,Z,0.80681
20190319,X,0.91581
20190319,Y,0.79707
20190319,Z,0.69443
20190320,X,0.86596
20190320,Y,0.80176
20190320,Z,0.65402
20190322,X,0.82888
20190322,Y,0.68902
20190322,Z,0.59766
20190325,X,0.8769
20190325,Y,0.83895
20190325,Z,0.71535
20190326,X,0.869
20190326,Y,0.78184
20190326,Z,0.69904
20190327,X,0.87933
20190327,Y,0.79854
20190327,Z,0.66005
20190328,X,0.88723
20190328,Y,0.8369
20190328,Z,0.6565
20190329,X,0.8848
20190329,Y,0.76779
20190329,Z,0.62106
20190401,X,0.92796
20190401,Y,0.88551
20190401,Z,0.95746
20190402,X,0.93252
20190402,Y,0.8407
20190402,Z,0.8185
20190403,X,0.91611
20190403,Y,0.82225
20190403,Z,0.86104
20190404,X,0.92584
20190404,Y,0.86325
20190404,Z,0.88373
20190405,X,0.88967
20190405,Y,0.82811
20190405,Z,0.77207
20190408,X,0.92462
20190408,Y,0.8041
20190408,Z,1
20190409,X,0.92432
20190409,Y,0.87408
20190409,Z,0.80007
20190410,X,0.969
20190410,Y,0.67233
20190410,Z,0.84615
20190411,X,0.92492
20190411,Y,0.8366
20190411,Z,0.80113
20190412,X,0.90122
20190412,Y,0.79883
20190412,Z,0.73555
20190415,X,0.91307
20190415,Y,0.92123
20190415,Z,0.93619
20190416,X,0.91763
20190416,Y,0.88785
20190416,Z,0.78376
20190417,X,0.89088
20190417,Y,0.87291
20190417,Z,0.73733
20190418,X,0.9
20190418,Y,0.89693
20190418,Z,0.77455
20190419,X,0.86991
20190419,Y,0.83602
20190419,Z,0.70436
20190422,X,0.8693
20190422,Y,0.93968
20190422,Z,0.91386
20190423,X,0.90426
20190423,Y,0.8899
20190423,Z,0.82737
20190424,X,0.9076
20190424,Y,0.87965
20190424,Z,0.8139
20190425,X,0.88754
20190425,Y,0.87467
20190425,Z,0.82453
20190426,X,0.86626
20190426,Y,0.7754
20190426,Z,0.79085
20190507,X,0.8459
20190507,Y,0.90307
20190507,Z,0.86175
20190508,X,0.82492
20190508,Y,0.86266
20190508,Z,0.79121
20190509,X,0.85988
20190509,Y,0.8735
20190509,Z,0.78625
20190510,X,0.86839
20190510,Y,0.84978
20190510,Z,0.73024
20190513,X,0.86231
20190513,Y,0.90102
20190513,Z,0.88231
20190514,X,0.88693
20190514,Y,0.79649
20190514,Z,0.8224
20190515,X,0.84985
20190515,Y,0.8899
20190515,Z,0.77951
20190516,X,0.91763
20190516,Y,0.88843
20190516,Z,0.80362
20190517,X,0.91429
20190517,Y,0.88521
20190517,Z,0.81035
20190520,X,0.95198
20190520,Y,0.97892
20190520,Z,0.95888
20190521,X,0.98571
20190521,Y,0.70922
20190521,Z,0.92024
20190522,X,0.93435
20190522,Y,0.93558
20190522,Z,0.82524
20190523,X,0.9538
20190523,Y,0.92826
20190523,Z,0.83375
20190524,X,0.9234
20190524,Y,0.9265
20190524,Z,0.79263
20190527,X,0.93617
20190527,Y,0.9795
20190527,Z,0.92662
20190528,X,0.95258
20190528,Y,0.89956
20190528,Z,0.82701
20190529,X,0.91581
20190529,Y,0.90366
20190529,Z,0.77561
20190530,X,0.93313
20190530,Y,0.87526
20190530,Z,0.77845
20190531,X,0.90638
20190531,Y,0.89341
20190531,Z,0.75363
20190603,X,0.9231
20190603,Y,0.94378
20190603,Z,0.94576
20190604,X,0.95836
20190604,Y,0.91245
20190604,Z,0.80043
20190605,X,0.9693
20190605,Y,0.89283
20190605,Z,0.81248
20190606,X,0.96657
20190606,Y,0.92211
20190606,Z,0.80964
20190607,X,0.91581
20190607,Y,0.78243
20190607,Z,0.8061
20190610,X,0.90486
20190610,Y,0.73704
20190610,Z,0.9759
20190611,X,0.89635
20190611,Y,0.88755
20190611,Z,0.7749
20190612,X,0.89514
20190612,Y,0.86589
20190612,Z,0.77419
20190613,X,0.9231
20190613,Y,0.90249
20190613,Z,0.79192
20190614,X,0.82097
20190614,Y,0.85476
20190614,Z,0.7196
20190617,X,0.89271
20190617,Y,0.93089
20190617,Z,0.93477
20190618,X,0.92249
20190618,Y,0.86852
20190618,Z,0.80007
20190619,X,0.92067
20190619,Y,0.88433
20190619,Z,0.81248
20190620,X,0.91155
20190620,Y,0.89868
20190620,Z,0.79617
20190621,X,0.87629
20190621,Y,0.85622
20190621,Z,0.7118
20190624,X,0.89179
20190624,Y,0.76164
20190624,Z,0.89507
20190625,X,0.86687
20190625,Y,0.88755
20190625,Z,0.76356
20190626,X,0.88571
20190626,Y,0.89605
20190626,Z,0.79475
20190627,X,0.8997
20190627,Y,0.88873
20190627,Z,0.77136
20190628,X,0.88298
20190628,Y,0.83865
20190628,Z,0.70223
20190701,X,0.94164
20190701,Y,0.90483
20190701,Z,0.98511
20190702,X,0.93556
20190702,Y,0.90132
20190702,Z,0.86175
20190703,X,0.95562
20190703,Y,0.93031
20190703,Z,0.84261
20190704,X,1
20190704,Y,0.76574
20190704,Z,0.87309
20190705,X,0.8997
20190705,Y,0.84685
20190705,Z,0.77348
20190708,X,0.9307
20190708,Y,0.93939
20190708,Z,0.88869
20190709,X,0.92918
20190709,Y,0.8776
20190709,Z,0.7827
20190710,X,0.95532
20190710,Y,0.89605
20190710,Z,0.82418
20190711,X,0.95562
20190711,Y,0.9183
20190711,Z,0.81141
20190712,X,0.88845
20190712,Y,0.78829
20190712,Z,0.76427
20190716,X,0.91307
20190716,Y,0.80556
20190716,Z,0.81531
20190717,X,0.88541
20190717,Y,0.94729
20190717,Z,0.76959
20190718,X,0.89362
20190718,Y,0.94261
20190718,Z,0.79298
20190719,X,0.86231
20190719,Y,0.89136
20190719,Z,0.72421
20190722,X,0.86201
20190722,Y,0.85593
20190722,Z,0.81602
20190723,X,0.92644
20190723,Y,0.84802
20190723,Z,0.69337
20190724,X,0.86292
20190724,Y,0.85915
20190724,Z,0.743
20190725,X,0.89362
20190725,Y,0.906
20190725,Z,0.7072
20190726,X,0.87021
20190726,Y,0.82958
20190726,Z,0.63949
20190729,X,0.92401
20190729,Y,0.92416
20190729,Z,0.79794
20190730,X,0.90669
20190730,Y,0.87731
20190730,Z,0.70507
20190731,X,0.88055
20190731,Y,0.88931
20190731,Z,0.70365
20190801,X,0.88146
20190801,Y,0.89956
20190801,Z,0.7625
20190802,X,0.84498
20190802,Y,0.86179
20190802,Z,0.67848
20190805,X,0.9076
20190805,Y,0.94173
20190805,Z,0.86565
20190806,X,0.92158
20190806,Y,0.90249
20190806,Z,0.76923
20190807,X,0.8848
20190807,Y,0.89546
20190807,Z,0.78376
20190808,X,0.8997
20190808,Y,0.87818
20190808,Z,0.78376
20190809,X,0.82462
20190809,Y,0.75608
20190809,Z,0.68983
20190813,X,0.70122
20190813,Y,0.60059
20190813,Z,0.76923
20190814,X,0.73404
20190814,Y,0.6287
20190814,Z,0.75824
20190815,X,0.72371
20190815,Y,0.62313
20190815,Z,0.7352
20190816,X,0.69757
20190816,Y,0.57394
20190816,Z,0.67387
20190819,X,0.77234
20190819,Y,0.82753
20190819,Z,0.77065
20190820,X,0.81641
20190820,Y,0.84305
20190820,Z,0.74938
20190821,X,0.8386
20190821,Y,0.86852
20190821,Z,0.70117
20190822,X,0.82766
20190822,Y,0.88697
20190822,Z,0.70011
20190823,X,0.80638
20190823,Y,0.79531
20190823,Z,0.63169
20190826,X,0.84134
20190826,Y,0.94143
20190826,Z,0.8302
20190827,X,0.88085
20190827,Y,0.88463
20190827,Z,0.73981
20190828,X,0.91094
20190828,Y,0.76837
20190828,Z,0.7944
20190829,X,0.8997
20190829,Y,0.89458
20190829,Z,0.71606
20190830,X,0.84164
20190830,Y,0.77687
20190830,Z,0.67423
20190902,X,0.87964
20190902,Y,0.95578
20190902,Z,0.89401
20190903,X,0.93191
20190903,Y,0.90044
20190903,Z,0.8146
20190904,X,0.88875
20190904,Y,0.88082
20190904,Z,0.76994
20190905,X,0.87052
20190905,Y,0.92796
20190905,Z,0.7632
20190906,X,0.83404
20190906,Y,0.87731
20190906,Z,0.70684
20190909,X,0.54468
20190909,Y,0.68609
20190909,Z,0.58171
20190910,X,0.94164
20190910,Y,0.9265
20190910,Z,0.76746
20190911,X,0.91489
20190911,Y,0.94231
20190911,Z,0.74619
20190912,X,0.89362
20190912,Y,0.93763
20190912,Z,0.74123
20190913,X,0.81064
20190913,Y,0.87028
20190913,Z,0.73485
20190917,X,0.8541
20190917,Y,0.9022
20190917,Z,0.77384
20190918,X,0.8535
20190918,Y,0.80996
20190918,Z,0.77348
20190919,X,0.83191
20190919,Y,0.88609
20190919,Z,0.70046
20190920,X,0.79392
20190920,Y,0.8735
20190920,Z,0.66076
20190924,X,0.86201
20190924,Y,0.90337
20190924,Z,0.76072
20190925,X,0.8386
20190925,Y,0.88141
20190925,Z,0.72669
20190926,X,0.84134
20190926,Y,0.90249
20190926,Z,0.75328
20190927,X,0.80912
20190927,Y,0.84861
20190927,Z,0.71464
20190930,X,0.84316
20190930,Y,0.94846
20190930,Z,0.80043
20191001,X,0.86231
20191001,Y,0.95373
20191001,Z,0.80078
20191002,X,0.84772
20191002,Y,0.94905
20191002,Z,0.80078
20191003,X,0.86505
20191003,Y,0.9101
20191003,Z,0.82701
20191004,X,0.8383
20191004,Y,0.83836
20191004,Z,0.74158
20191007,X,0.89666
20191007,Y,1
20191007,Z,0.87629
20191008,X,0.89605
20191008,Y,0.92562
20191008,Z,0.78128
20191009,X,0.84681
20191009,Y,0.93382
20191009,Z,0.76817
20191010,X,0.87994
20191010,Y,0.9593
20191010,Z,0.78235
20191011,X,0.869
20191011,Y,0.84773
20191011,Z,0.70897
20191015,X,0.84468
20191015,Y,0.91479
20191015,Z,0.78518
20191016,X,0.84529
20191016,Y,0.90864
20191016,Z,0.76604
20191017,X,0.8462
20191017,Y,0.90249
20191017,Z,0.7469
20191018,X,0.80426
20191018,Y,0.8284
20191018,Z,0.7469
20191021,X,0.75623
20191021,Y,0.79239
20191021,Z,0.78447
20191023,X,0.85106
20191023,Y,0.9063
20191023,Z,0.74867
20191024,X,0.84377
20191024,Y,0.87965
