nichi,group_mise,food_uriage_wariai
20180724,X,0.86842
20180724,Y,0.87618
20180724,Z,0.94085
20180725,X,0.86548
20180725,Y,0.8755
20180725,Z,0.93989
20180726,X,0.88248
20180726,Y,0.8648
20180726,Z,0.95414
20180727,X,0.85915
20180727,Y,0.87268
20180727,Z,0.91717
20180730,X,0.86174
20180730,Y,0.87394
20180730,Z,0.94916
20180731,X,0.87187
20180731,Y,0.87828
20180731,Z,0.92952
20180801,X,0.87485
20180801,Y,0.85479
20180801,Z,0.95234
20180802,X,0.87186
20180802,Y,0.87081
20180802,Z,0.95218
20180803,X,0.87479
20180803,Y,0.87721
20180803,Z,0.88573
20180806,X,0.87035
20180806,Y,0.85765
20180806,Z,0.94127
20180807,X,0.87237
20180807,Y,0.87609
20180807,Z,0.96568
20180808,X,0.884
20180808,Y,0.8633
20180808,Z,0.94126
20180809,X,0.8707
20180809,Y,0.87006
20180809,Z,0.95002
20180810,X,0.838
20180810,Y,0.86178
20180810,Z,0.94801
20180813,X,0.85043
20180813,Y,0.84578
20180813,Z,0.93189
20180814,X,0.86394
20180814,Y,0.88094
20180814,Z,0.95776
20180815,X,0.87529
20180815,Y,0.86394
20180815,Z,0.95217
20180816,X,0.88224
20180816,Y,0.86473
20180816,Z,0.96008
20180817,X,0.85629
20180817,Y,0.872
20180817,Z,0.9594
20180820,X,0.85539
20180820,Y,0.85411
20180820,Z,0.96303
20180821,X,0.87543
20180821,Y,0.86865
20180821,Z,0.9513
20180822,X,0.8742
20180822,Y,0.86999
20180822,Z,0.9381
20180823,X,0.84784
20180823,Y,0.84281
20180823,Z,0.94235
20180824,X,0.84144
20180824,Y,0.83311
20180824,Z,0.94153
20180827,X,0.85757
20180827,Y,0.85657
20180827,Z,0.94159
20180828,X,0.87183
20180828,Y,0.85388
20180828,Z,0.95851
20180829,X,0.84434
20180829,Y,0.8397
20180829,Z,0.94215
20180830,X,0.86701
20180830,Y,0.87031
20180830,Z,0.93685
20180831,X,0.83966
20180831,Y,0.83043
20180831,Z,0.94585
20180903,X,0.88106
20180903,Y,0.83539
20180903,Z,0.96124
20180904,X,0.88365
20180904,Y,0.86487
20180904,Z,0.95403
20180905,X,0.87608
20180905,Y,0.8598
20180905,Z,0.95067
20180906,X,0.8673
20180906,Y,0.86263
20180906,Z,0.82533
20180907,X,0.87796
20180907,Y,0.85053
20180907,Z,0.94848
20180910,X,0.84972
20180910,Y,0.79344
20180910,Z,0.93045
20180911,X,0.87584
20180911,Y,0.86733
20180911,Z,0.95092
20180912,X,0.86391
20180912,Y,0.87362
20180912,Z,0.95765
20180913,X,0.84155
20180913,Y,0.86221
20180913,Z,0.95761
20180914,X,0.86498
20180914,Y,0.82509
20180914,Z,0.95196
20180918,X,0.84884
20180918,Y,0.84227
20180918,Z,0.94611
20180919,X,0.8823
20180919,Y,0.8333
20180919,Z,0.92381
20180920,X,0.8343
20180920,Y,0.81419
20180920,Z,0.91449
20180921,X,0.79033
20180921,Y,0.85016
20180921,Z,0.85009
20180925,X,0.83461
20180925,Y,0.78704
20180925,Z,0.71965
20180926,X,0.81855
20180926,Y,0.81878
20180926,Z,0.94232
20180927,X,0.72698
20180927,Y,0.79667
20180927,Z,0.83374
20180928,X,0.79145
20180928,Y,0.79386
20180928,Z,0.9195
20181001,X,0.89234
20181001,Y,0.90058
20181001,Z,0.94567
20181002,X,0.89372
20181002,Y,0.88592
20181002,Z,0.95325
20181003,X,0.88921
20181003,Y,0.86572
20181003,Z,0.94076
20181004,X,0.88029
20181004,Y,0.86564
20181004,Z,0.96479
20181005,X,0.87921
20181005,Y,0.8533
20181005,Z,0.95352
20181009,X,0.86086
20181009,Y,0.88154
20181009,Z,0.9437
20181010,X,0.90628
20181010,Y,0.88286
20181010,Z,0.9493
20181011,X,0.8736
20181011,Y,0.87817
20181011,Z,0.95197
20181012,X,0.86801
20181012,Y,0.84938
20181012,Z,0.94443
20181015,X,0.8665
20181015,Y,0.84711
20181015,Z,0.93782
20181016,X,0.8762
20181016,Y,0.88654
20181016,Z,0.96031
20181017,X,0.8835
20181017,Y,0.87149
20181017,Z,0.95207
20181018,X,0.88044
20181018,Y,0.85386
20181018,Z,0.94799
20181019,X,0.87643
20181019,Y,0.86238
20181019,Z,0.94775
20181022,X,0.86894
20181022,Y,0.84226
20181022,Z,0.94401
20181023,X,0.86818
20181023,Y,0.88655
20181023,Z,0.9666
20181024,X,0.83973
20181024,Y,0.86894
20181024,Z,0.9599
20181025,X,0.88432
20181025,Y,0.87329
20181025,Z,0.96762
20181026,X,0.86542
20181026,Y,0.85506
20181026,Z,0.94846
20181029,X,0.84818
20181029,Y,0.82635
20181029,Z,0.94456
20181030,X,0.87239
20181030,Y,0.87195
20181030,Z,0.95779
20181031,X,0.86971
20181031,Y,0.87775
20181031,Z,0.93766
20181101,X,0.87051
20181101,Y,0.87414
20181101,Z,0.93889
20181102,X,0.7206
20181102,Y,0.84609
20181102,Z,0.94877
20181105,X,0.86672
20181105,Y,0.81878
20181105,Z,0.94496
20181106,X,0.81729
20181106,Y,0.81755
20181106,Z,0.95145
20181107,X,0.84642
20181107,Y,0.84704
20181107,Z,0.95051
20181108,X,0.83277
20181108,Y,0.87075
20181108,Z,0.94792
20181109,X,0.84127
20181109,Y,0.79662
20181109,Z,0.931
20181112,X,0.85351
20181112,Y,0.83555
20181112,Z,0.94832
20181113,X,0.88074
20181113,Y,0.86669
20181113,Z,0.95163
20181114,X,0.86676
20181114,Y,0.84056
20181114,Z,0.94539
20181115,X,0.88756
20181115,Y,0.84537
20181115,Z,0.9613
20181116,X,0.85624
20181116,Y,0.80953
20181116,Z,0.95162
20181119,X,0.85612
20181119,Y,0.82606
20181119,Z,0.94628
20181120,X,0.85213
20181120,Y,0.87788
20181120,Z,0.95423
20181121,X,0.8737
20181121,Y,0.8498
20181121,Z,0.95167
20181122,X,0.86525
20181122,Y,0.84638
20181122,Z,0.95161
20181126,X,0.85651
20181126,Y,0.83989
20181126,Z,0.95755
20181127,X,0.8776
20181127,Y,0.86406
20181127,Z,0.95129
20181128,X,0.89045
20181128,Y,0.86149
20181128,Z,0.95721
20181129,X,0.86597
20181129,Y,0.86062
20181129,Z,0.96821
20181130,X,0.87731
20181130,Y,0.83773
20181130,Z,0.94472
20181203,X,0.84477
20181203,Y,0.84237
20181203,Z,0.95531
20181204,X,0.87184
20181204,Y,0.82048
20181204,Z,0.92762
20181205,X,0.87486
20181205,Y,0.85398
20181205,Z,0.95291
20181206,X,0.86959
20181206,Y,0.85093
20181206,Z,0.94536
20181207,X,0.85839
20181207,Y,0.8582
20181207,Z,0.94123
20181210,X,0.83962
20181210,Y,0.84269
20181210,Z,0.94116
20181211,X,0.85057
20181211,Y,0.81604
20181211,Z,0.94114
20181212,X,0.86048
20181212,Y,0.8386
20181212,Z,0.94743
20181213,X,0.8775
20181213,Y,0.85786
20181213,Z,0.94994
20181214,X,0.84927
20181214,Y,0.83068
20181214,Z,0.94575
20181217,X,0.86204
20181217,Y,0.82534
20181217,Z,0.89205
20181218,X,0.87035
20181218,Y,0.85944
20181218,Z,0.94751
20181219,X,0.8568
20181219,Y,0.85805
20181219,Z,0.95234
20181220,X,0.85079
20181220,Y,0.8625
20181220,Z,0.94641
20181221,X,0.84976
20181221,Y,0.84209
20181221,Z,0.9609
20181225,X,0.85573
20181225,Y,0.74235
20181225,Z,0.9335
20181226,X,0.83508
20181226,Y,0.83656
20181226,Z,0.95238
20181227,X,0.88877
20181227,Y,0.87386
20181227,Z,0.95103
20190107,X,0.8268
20190107,Y,0.82566
20190107,Z,0.93527
20190108,X,0.85248
20190108,Y,0.8677
20190108,Z,0.95199
20190109,X,0.87699
20190109,Y,0.86077
20190109,Z,0.94475
20190110,X,0.84856
20190110,Y,0.87504
20190110,Z,0.93484
20190111,X,0.84884
20190111,Y,0.84806
20190111,Z,0.94012
20190115,X,0.84164
20190115,Y,0.83678
20190115,Z,0.95587
20190116,X,0.87609
20190116,Y,0.86715
20190116,Z,0.95168
20190117,X,0.87836
20190117,Y,0.85806
20190117,Z,0.95335
20190118,X,0.85617
20190118,Y,0.84845
20190118,Z,0.94464
20190121,X,0.85034
20190121,Y,0.8613
20190121,Z,0.94117
20190122,X,0.85021
20190122,Y,0.8635
20190122,Z,0.9713
20190123,X,0.87259
20190123,Y,0.87005
20190123,Z,0.9475
20190124,X,0.86666
20190124,Y,0.85079
20190124,Z,0.95081
20190125,X,0.83058
20190125,Y,0.84908
20190125,Z,0.95381
20190128,X,0.86258
20190128,Y,0.8447
20190128,Z,0.94855
20190129,X,0.86572
20190129,Y,0.85628
20190129,Z,0.93799
20190130,X,0.89382
20190130,Y,0.86266
20190130,Z,0.94704
20190131,X,0.85714
20190131,Y,0.8083
20190131,Z,0.95684
20190201,X,0.84853
20190201,Y,0.83184
20190201,Z,0.95421
20190204,X,0.86813
20190204,Y,0.84259
20190204,Z,0.96298
20190205,X,0.8668
20190205,Y,0.86178
20190205,Z,0.94546
20190206,X,0.87218
20190206,Y,0.84115
20190206,Z,0.94252
20190207,X,0.85544
20190207,Y,0.84506
20190207,Z,0.94618
20190208,X,0.80256
20190208,Y,0.83215
20190208,Z,0.93737
20190212,X,0.86353
20190212,Y,0.85131
20190212,Z,0.93801
20190213,X,0.86844
20190213,Y,0.85226
20190213,Z,0.95957
20190214,X,0.85643
20190214,Y,0.87011
20190214,Z,0.96031
20190215,X,0.86591
20190215,Y,0.84663
20190215,Z,0.95279
20190218,X,0.87944
20190218,Y,0.84658
20190218,Z,0.94464
20190219,X,0.87121
20190219,Y,0.84217
20190219,Z,0.94259
20190220,X,0.86435
20190220,Y,0.87219
20190220,Z,0.9625
20190221,X,0.88111
20190221,Y,0.86601
20190221,Z,0.95358
20190222,X,0.86355
20190222,Y,0.8597
20190222,Z,0.95435
20190225,X,0.85916
20190225,Y,0.83675
20190225,Z,0.96541
20190226,X,0.86748
20190226,Y,0.85751
20190226,Z,0.95123
20190227,X,0.87479
20190227,Y,0.85567
20190227,Z,0.95926
20190228,X,0.88732
20190228,Y,0.84484
20190228,Z,0.96059
20190301,X,0.87264
20190301,Y,0.87297
20190301,Z,0.94934
20190304,X,0.86162
20190304,Y,0.82977
20190304,Z,0.95631
20190305,X,0.8805
20190305,Y,0.85688
20190305,Z,0.95835
20190306,X,0.87663
20190306,Y,0.87435
20190306,Z,0.95032
20190307,X,0.88295
20190307,Y,0.84478
20190307,Z,0.95956
20190308,X,0.86618
20190308,Y,0.86367
20190308,Z,0.9475
20190311,X,0.86471
20190311,Y,0.83614
20190311,Z,0.95721
20190312,X,0.88264
20190312,Y,0.88275
20190312,Z,0.94989
20190313,X,0.88381
20190313,Y,0.86865
20190313,Z,0.93024
20190314,X,0.88348
20190314,Y,0.86435
20190314,Z,0.95288
20190315,X,0.86144
20190315,Y,0.85315
20190315,Z,0.92565
20190318,X,0.87431
20190318,Y,0.85189
20190318,Z,0.948
20190319,X,0.88252
20190319,Y,0.86262
20190319,Z,0.95509
20190320,X,0.86464
20190320,Y,0.85646
20190320,Z,0.95114
20190322,X,0.86319
20190322,Y,0.85344
20190322,Z,0.9185
20190325,X,0.84582
20190325,Y,0.84753
20190325,Z,0.9641
20190326,X,0.89469
20190326,Y,0.8673
20190326,Z,0.94467
20190327,X,0.87633
20190327,Y,0.86386
20190327,Z,0.94464
20190328,X,0.87436
20190328,Y,0.87775
20190328,Z,0.95398
20190329,X,0.85028
20190329,Y,0.86493
20190329,Z,0.93914
20190401,X,0.88074
20190401,Y,0.82965
20190401,Z,0.95576
20190402,X,0.87979
20190402,Y,0.87419
20190402,Z,0.95773
20190403,X,0.88357
20190403,Y,0.8842
20190403,Z,0.97609
20190404,X,0.87893
20190404,Y,0.87262
20190404,Z,0.87185
20190405,X,0.87332
20190405,Y,0.8649
20190405,Z,0.95407
20190408,X,0.87398
20190408,Y,0.84919
20190408,Z,0.95638
20190409,X,0.87407
20190409,Y,0.88288
20190409,Z,0.95858
20190410,X,0.87325
20190410,Y,0.85549
20190410,Z,0.97314
20190411,X,0.8872
20190411,Y,0.87071
20190411,Z,0.96524
20190412,X,0.87477
20190412,Y,0.85597
20190412,Z,0.94896
20190415,X,0.85758
20190415,Y,0.8581
20190415,Z,0.96277
20190416,X,0.88475
20190416,Y,0.85665
20190416,Z,0.95405
20190417,X,0.89798
20190417,Y,0.87119
20190417,Z,0.96274
20190418,X,0.87747
20190418,Y,0.85468
20190418,Z,0.96965
20190419,X,0.87371
20190419,Y,0.85928
20190419,Z,0.94925
20190422,X,0.87665
20190422,Y,0.86052
20190422,Z,0.95642
20190423,X,0.86606
20190423,Y,0.87422
20190423,Z,0.95979
20190424,X,0.8654
20190424,Y,0.85927
20190424,Z,0.95877
20190425,X,0.85134
20190425,Y,0.8601
20190425,Z,0.95119
20190426,X,0.8544
20190426,Y,0.83301
20190426,Z,0.95959
20190507,X,0.85458
20190507,Y,0.86546
20190507,Z,0.95383
20190508,X,0.86087
20190508,Y,0.87096
20190508,Z,0.94643
20190509,X,0.86276
20190509,Y,0.8769
20190509,Z,0.96794
20190510,X,0.88687
20190510,Y,0.84526
20190510,Z,0.9536
20190513,X,0.86987
20190513,Y,0.87473
20190513,Z,0.95924
20190514,X,0.88127
20190514,Y,0.86235
20190514,Z,0.94754
20190515,X,0.89058
20190515,Y,0.87434
20190515,Z,0.95832
20190516,X,0.88221
20190516,Y,0.88589
20190516,Z,0.95738
20190517,X,0.84425
20190517,Y,0.85362
20190517,Z,0.94713
20190520,X,0.79667
20190520,Y,0.81649
20190520,Z,0.93876
20190521,X,0.84601
20190521,Y,0.83277
20190521,Z,0.94602
20190522,X,0.85498
20190522,Y,0.86718
20190522,Z,0.94935
20190523,X,0.86391
20190523,Y,0.87382
20190523,Z,0.95115
20190524,X,0.84433
20190524,Y,0.84002
20190524,Z,0.9401
20190527,X,0.86171
20190527,Y,0.85768
20190527,Z,0.95131
20190528,X,0.86735
20190528,Y,0.84179
20190528,Z,0.96334
20190529,X,0.85823
20190529,Y,0.85308
20190529,Z,0.95227
20190530,X,0.84637
20190530,Y,0.86917
20190530,Z,0.96066
20190531,X,0.87092
20190531,Y,0.84344
20190531,Z,0.95142
20190603,X,0.87639
20190603,Y,0.86544
20190603,Z,0.95819
20190604,X,0.87574
20190604,Y,0.87041
20190604,Z,0.96523
20190605,X,0.87468
20190605,Y,0.86457
20190605,Z,0.9596
20190606,X,0.87886
20190606,Y,0.87423
20190606,Z,0.96523
20190607,X,0.85179
20190607,Y,0.79906
20190607,Z,0.96061
20190610,X,0.87976
20190610,Y,0.8323
20190610,Z,0.96455
20190611,X,0.88853
20190611,Y,0.86239
20190611,Z,0.94805
20190612,X,0.89003
20190612,Y,0.86866
20190612,Z,0.95184
20190613,X,0.87654
20190613,Y,0.87648
20190613,Z,0.96448
20190614,X,0.87126
20190614,Y,0.86528
20190614,Z,0.95738
20190617,X,0.86212
20190617,Y,0.86014
20190617,Z,0.93771
20190618,X,0.88253
20190618,Y,0.85105
20190618,Z,0.96846
20190619,X,0.86719
20190619,Y,0.87297
20190619,Z,0.96534
20190620,X,0.87839
20190620,Y,0.86961
20190620,Z,0.96416
20190621,X,0.86901
20190621,Y,0.85804
20190621,Z,0.96286
20190624,X,0.87099
20190624,Y,0.83688
20190624,Z,0.96102
20190625,X,0.884
20190625,Y,0.84255
20190625,Z,0.96207
20190626,X,0.87484
20190626,Y,0.87359
20190626,Z,0.96378
20190627,X,0.86092
20190627,Y,0.82841
20190627,Z,0.95205
20190628,X,0.86418
20190628,Y,0.86396
20190628,Z,0.96343
20190701,X,0.84154
20190701,Y,0.86186
20190701,Z,0.95154
20190702,X,0.86708
20190702,Y,0.83855
20190702,Z,0.9482
20190703,X,0.82905
20190703,Y,0.85188
20190703,Z,0.93459
20190704,X,0.86243
20190704,Y,0.84289
20190704,Z,0.85698
20190705,X,0.84435
20190705,Y,0.8423
20190705,Z,0.94659
20190708,X,0.86905
20190708,Y,0.86795
20190708,Z,0.93137
20190709,X,0.88028
20190709,Y,0.87179
20190709,Z,0.95733
20190710,X,0.8738
20190710,Y,0.86957
20190710,Z,0.96167
20190711,X,0.85637
20190711,Y,0.83184
20190711,Z,0.94443
20190712,X,0.85787
20190712,Y,0.82903
20190712,Z,0.95194
20190716,X,0.84257
20190716,Y,0.81774
20190716,Z,0.95764
20190717,X,0.87786
20190717,Y,0.85447
20190717,Z,0.95491
20190718,X,0.88041
20190718,Y,0.82963
20190718,Z,0.96796
20190719,X,0.86122
20190719,Y,0.8218
20190719,Z,0.94445
20190722,X,0.84345
20190722,Y,0.84915
20190722,Z,0.961
20190723,X,0.87488
20190723,Y,0.87173
20190723,Z,0.93857
20190724,X,0.8761
20190724,Y,0.86512
20190724,Z,0.96584
20190725,X,0.86827
20190725,Y,0.85543
20190725,Z,0.95202
20190726,X,0.8652
20190726,Y,0.86019
20190726,Z,0.95844
20190729,X,0.83788
20190729,Y,0.86548
20190729,Z,0.94336
20190730,X,0.84549
20190730,Y,0.87011
20190730,Z,0.94028
20190731,X,0.84341
20190731,Y,0.8643
20190731,Z,0.92623
20190801,X,0.88046
20190801,Y,0.8711
20190801,Z,0.94614
20190802,X,0.87801
20190802,Y,0.87008
20190802,Z,0.93449
20190805,X,0.86277
20190805,Y,0.86318
20190805,Z,0.95152
20190806,X,0.87821
20190806,Y,0.86911
20190806,Z,0.94945
20190807,X,0.85536
20190807,Y,0.86371
20190807,Z,0.94188
20190808,X,0.87036
20190808,Y,0.86825
20190808,Z,0.94068
20190809,X,0.86996
20190809,Y,0.87658
20190809,Z,0.95245
20190813,X,0.78911
20190813,Y,0.87776
20190813,Z,0.93898
20190814,X,0.8732
20190814,Y,0.86647
20190814,Z,0.95781
20190815,X,0.88463
20190815,Y,0.86171
20190815,Z,0.95946
20190816,X,0.85657
20190816,Y,0.86045
20190816,Z,0.94482
20190819,X,0.87065
20190819,Y,0.85069
20190819,Z,0.95955
20190820,X,0.8456
20190820,Y,0.87758
20190820,Z,0.9429
20190821,X,0.87927
20190821,Y,0.8632
20190821,Z,0.95221
20190822,X,0.86835
20190822,Y,0.87336
20190822,Z,0.95927
20190823,X,0.86651
20190823,Y,0.86914
20190823,Z,0.95257
20190826,X,0.86846
20190826,Y,0.83574
20190826,Z,0.95531
20190827,X,0.89123
20190827,Y,0.8609
20190827,Z,0.95007
20190828,X,0.87547
20190828,Y,0.85034
20190828,Z,0.95066
20190829,X,0.88477
20190829,Y,0.86891
20190829,Z,0.94095
20190830,X,0.86002
20190830,Y,0.86319
20190830,Z,0.95274
20190902,X,0.87422
20190902,Y,0.85776
20190902,Z,0.94406
20190903,X,0.86193
20190903,Y,0.84535
20190903,Z,0.93866
20190904,X,0.89255
20190904,Y,0.87349
20190904,Z,0.96055
20190905,X,0.84262
20190905,Y,0.87808
20190905,Z,0.95733
20190906,X,0.86737
20190906,Y,0.8622
20190906,Z,0.97178
20190909,X,0.8753
20190909,Y,0.84816
20190909,Z,0.95937
20190910,X,0.88251
20190910,Y,0.8709
20190910,Z,0.94939
20190911,X,0.87879
20190911,Y,0.86817
20190911,Z,0.95167
20190912,X,0.87646
20190912,Y,0.86694
20190912,Z,0.9577
20190913,X,0.86487
20190913,Y,0.86789
20190913,Z,0.93431
20190917,X,0.86254
20190917,Y,0.85941
20190917,Z,0.96789
20190918,X,0.84818
20190918,Y,0.81621
20190918,Z,0.95114
20190919,X,0.86139
20190919,Y,0.87019
20190919,Z,0.95682
20190920,X,0.85635
20190920,Y,0.85788
20190920,Z,0.9603
20190924,X,0.87387
20190924,Y,0.85517
20190924,Z,0.95065
20190925,X,0.84788
20190925,Y,0.85291
20190925,Z,0.94385
20190926,X,0.88417
20190926,Y,0.85487
20190926,Z,0.75887
20190927,X,0.84991
20190927,Y,0.83023
20190927,Z,0.9554
20190930,X,0.84968
20190930,Y,0.82215
20190930,Z,0.93373
20191001,X,0.8761
20191001,Y,0.86997
20191001,Z,0.9583
20191002,X,0.87474
20191002,Y,0.88256
20191002,Z,0.96424
20191003,X,0.87375
20191003,Y,0.88889
20191003,Z,0.95786
20191004,X,0.86697
20191004,Y,0.84324
20191004,Z,0.95784
20191007,X,0.86873
20191007,Y,0.82405
20191007,Z,0.94938
20191008,X,0.8775
20191008,Y,0.86252
20191008,Z,0.95998
20191009,X,0.86883
20191009,Y,0.87147
20191009,Z,0.9577
20191010,X,0.86675
20191010,Y,0.83272
20191010,Z,0.95728
20191011,X,0.79948
20191011,Y,0.80044
20191011,Z,0.92395
20191015,X,0.86799
20191015,Y,0.86413
20191015,Z,0.93994
20191016,X,0.86322
20191016,Y,0.86119
20191016,Z,0.96923
20191017,X,0.8738
20191017,Y,0.86947
20191017,Z,0.95097
20191018,X,0.84893
20191018,Y,0.84366
20191018,Z,0.94655
20191021,X,0.8363
20191021,Y,0.82067
20191021,Z,0.94874
20191023,X,0.85946
20191023,Y,0.87204
20191023,Z,0.95064
